provider,code,status_zh,status_en,category,description,next_action
ecpay,2054,賣家要求提早退貨,,returning,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2055,包裹退至物流中心,,returning,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2057,車輛故障，後續配送中,,status,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2058,天候不佳，後續配送中,,status,物流商：UNIMART、UNIMARTC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2059,道路中斷，後續配送中,,status,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2060,門市停業，廠退處理,,returning,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2061,包裹異常，請洽客服,,error,物流商：UNIMART、UNIMARTC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2062,包裹門市確認中,,status,物流商：UNIMART、UNIMARTC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2063,包裹配達取件門市,,at_store,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2065,買家未取包裹，將退回物流中心,,returning,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2066,包裹確認中，將退回物流中心,,returning,物流商：UNIMART、UNIMARTC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2067,買家已到店取貨,,picked_up,物流商：UNIMART、UNIMARTC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2070,賣家已取退回包裹,,returned,物流商：UNIMART、UNIMARTC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2071,門市代碼格式錯誤,,error,物流商：UNIMART、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2073,包裹配達取件門市,,at_store,物流商：UNIMART、UNIMARTC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2074,買家未取包裹，將退回物流中心,,returning,物流商：UNIMART、UNIMARTC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2072,包裹已退至原寄件門市,,returning,物流商：UNIMART、UNIMARTC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2075,賣家未取包裹，將退回物流中心,,returning,物流商：UNIMART、UNIMARTC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2076,買家未取包裹，已退回物流中心,,returned,物流商：UNIMART、UNIMARTC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2094,包裹異常，請洽客服,,error,物流商：UNIMART、UNIMARTC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2095,天候路況不佳,,status,物流商：UNIMART,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2098,包裹重新配達取件門市,,at_store,物流商：UNIMART、UNIMARTC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,4001,買家已到門市寄件,,status,物流商：UNIMART、FAMI、FAMIC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,4002,退貨商品已至物流中心,,returning,物流商：UNIMART、FAMI、FAMIC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,4003,退件包裹異常，協尋中,,error,物流商：UNIMART,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,4004,包裹遺失，進入賠償程序,,error,物流商：UNIMART,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,7017,取件包裹異常，協尋中,,error,物流商：UNIMART、UNIMARTC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,7018,包裹遺失，進入賠償程序,,error,物流商：UNIMART、UNIMARTC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,7021,包裹異常，請洽客服,,error,物流商：UNIMART,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,7022,包裹異常，請洽客服,,error,物流商：UNIMART,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,7023,包裹異常，請洽客服,,error,物流商：UNIMART,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,7038,門市驗收異常，請洽客服,,error,物流商：UNIMART、UNIMARTC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2068,賣家已到門市寄件,,status,物流商：UNIMARTC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2069,退貨便收件(商品退回指定C門市),,returning,物流商：UNIMARTC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2077,賣家未取包裹，待申請退回,,returning,物流商：UNIMARTC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2078,買家未取包裹，已退回物流中心,,returned,物流商：UNIMARTC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2079,買家未取貨退回物流中心-商品瑕疵(進物流中心),,returning,物流商：UNIMARTC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2080,買家未取貨退回物流中心-超材,,returning,物流商：UNIMARTC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2081,買家未取貨退回物流中心-違禁品(退貨及罰款處理),,returning,物流商：UNIMARTC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2082,買家未取貨退回物流中心-訂單資料重複上傳,,error,物流商：UNIMARTC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2083,買家未取貨退回物流中心-已過門市進貨日（未於指定時間內寄至物流中心),,returning,物流商：UNIMARTC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2084,買家未取貨退回物流中心-第一段標籤規格錯誤,,error,物流商：UNIMARTC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2085,買家未取貨退回物流中心-第一段標籤無法判讀,,error,物流商：UNIMARTC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2086,買家未取貨退回物流中心-第一段標籤資料錯誤,,error,物流商：UNIMARTC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2087,買家未取貨退回物流中心-物流中心理貨中,,returning,物流商：UNIMARTC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2088,買家未取貨退回物流中心-商品遺失,,error,物流商：UNIMARTC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2089,買家未取退回物流中心-門市指定不配送(六、日),,returning,物流商：UNIMARTC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2092,買家未取退回物流中心-門市關轉,,returning,物流商：UNIMARTC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2093,買家未取退回物流中心-爆量,,returning,物流商：UNIMARTC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2096,賣家未取包裹，待申請退回,,returning,物流商：UNIMARTC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2097,包裹宅配退回中,,returning,物流商：UNIMARTC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2099,包裹重新配達寄件門市,,at_store,物流商：UNIMARTC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2101,門市關轉店,,status,物流商：UNIMARTC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2102,門市舊店號更新,,status,物流商：UNIMARTC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2103,無取件門市資料,,status,物流商：UNIMARTC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2104,門市關轉，請重選門市,,status,物流商：UNIMARTC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,2105,已申請門市變更,,status,物流商：UNIMARTC2C、FAMI、FAMIC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,7013,訂單超過驗收期限（賣家未出貨）,,status,物流商：UNIMARTC2C、FAMI、FAMIC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,7019,寄件包裹異常，協尋中,,error,物流商：UNIMARTC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,7020,包裹遺失，進入賠償程序,,error,物流商：UNIMARTC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,9999,訂單取消,,cancelled,物流商：UNIMARTC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,3018,包裹配達取件門市,,at_store,物流商：FAMI、FAMIC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,3019,包裹已退至原寄件門市,,returning,物流商：FAMI、FAMIC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,3020,買家未取包裹，將退回物流中心,,returning,物流商：FAMI、FAMIC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,3021,賣家未取包裹，待申請退回,,returning,物流商：FAMI、FAMIC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,3022,買家已到店取貨,,picked_up,物流商：FAMI、FAMIC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,3023,賣家已取退回包裹,,returned,物流商：FAMI、FAMIC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,3024,物流中心驗收成功,,status,物流商：FAMI、FAMIC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,3025,買家未取包裹，已退回物流中心,,returned,物流商：FAMI、FAMIC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,3029,包裹已配達指定取件門市,,picked_up,物流商：FAMI、FAMIC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,3031,包裹已退至指定寄件門市,,returning,物流商：FAMI、FAMIC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,3032,賣家已到門市寄件,,status,物流商：FAMI、FAMIC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,5009,包裹異常，請洽客服,,error,物流商：FAMI、FAMIC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,7006,包裹遺失，進入賠償程序,,error,物流商：FAMI、FAMIC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,7007,包裹遺失，進入賠償程序,,error,物流商：FAMI、FAMIC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,7008,包裹破損，請洽客服,,error,物流商：FAMI、FAMIC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,7009,包裝異常，請洽客服,,error,物流商：FAMI、FAMIC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,7010,包裝異常，請洽客服,,error,物流商：FAMI、FAMIC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,7011,取件門市關轉，請重選門市,,status,物流商：FAMI、FAMIC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,7012,條碼錯誤，廠退處理,,error,物流商：FAMI、FAMIC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,7014,等待賣家出貨,,status,物流商：FAMI、FAMIC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,7015,條碼重複，請洽客服,,error,物流商：FAMI、FAMIC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
ecpay,7016,包裹超材，退回賣家,,returning,物流商：FAMI、FAMIC2C、HILIFE、HILIFEC2C,見綠界物流貨態代碼表（developers.ecpay.com.tw/logistics_status/；各物流商代碼會不定時更新）
